longitude,latitude
-84.967,-51.55
-25.725,-51.527
-25.467,-51.522
-25.432,-51.522
-25.507,-51.52
-102.45,-51.517
-25.198,-51.508
-38.475,-51.493
-25.462,-51.492
-33.362,-51.483
-76.422,-51.47
-33.738,-51.47
-33.865,-51.447
-22.89,-51.44
-33.99,-51.432
73.15,-51.38
95.087,-51.373
78.808,-51.288
76.748,-51.233
-4.865,-51.232
12.44,-51.183
75.775,-51.158
76.063,-51.148
126.177,-51.122
-145.05,-51.117
-77.633,-51.1
76.588,-51.092
-40.05,-51.083
-20.647,-51.072
125.177,-51.06
124.453,-51.043
110.0,-51.025
20.738,-51.013
109.988,-51.007
5.33,-51.0
-24.665,-50.968
-14.057,-50.947
104.908,-50.933
104.887,-50.932
-33.96,-50.897
125.172,-50.892
-104.933,-50.85
100.088,-50.848
-26.068,-50.772
-37.153,-50.768
-76.809,-50.68
-76.955,-50.65
-39.717,-50.623
-31.767,-50.608
2.895,-50.542
20.883,-50.542
109.587,-50.517
-163.12715,-50.45228
90.177,-50.433
-35.8,-50.35
-148.1258,-50.33993
12.91,-50.153
-114.783,-50.1
-94.9,-50.1
-90.017,-50.1
-105.117,-50.067
100.218,-50.06
-127.517,-50.033
-100.033,-50.033
124.687,-50.033
-159.713,-50.027
104.917,-50.025
119.632,-50.018
-19.425,-49.997
21.115,-49.99
73.668,-49.983
73.667,-49.982
-25.915,-49.98
5.8683,-49.9775
-15.568,-49.922
71.4,-49.795
71.317,-49.783
71.323,-49.783
-47.288,-49.723
-44.507,-49.635
-47.565,-49.603
-44.053,-49.595
-42.4,-49.583
-44.018,-49.567
-179.702,-49.552
-41.495,-49.548
-36.037,-49.523
13.192,-49.52
-34.97,-49.518
114.493,-49.5
-33.977,-49.498
21.177,-49.498
-44.808,-49.482
37.053,-49.467
-39.627,-49.455
-141.9955,-49.38478
94.832,-49.378
72.145,-49.192
124.958,-49.113
-45.667,-49.107
100.125,-49.077
100.078,-49.072
110.178,-49.032
-120.075,-49.025
21.353,-49.017
-144.833,-49.0
-120.017,-49.0
-26.96,-48.998
-13.337,-48.998
13.44,-48.985
126.017,-48.862
-36.555,-48.853
114.617,-48.848
-35.06,-48.703
-44.507,-48.635
5.127,-48.57
-10.332,-48.492
-113.2833,-48.475
-114.3,-48.4583
